index,approveText,title,searchYear,searchFund,searchCode,codeText,fundTypeText,personText,money,approveYear,endYear,organization,keywords
"1","31872762","1.利用秀丽隐杆线虫为模型研究星形胶质细胞空间定位机理和功能","2022","面上项目","C0902","C0902","面上项目","邵志勇","59.0","2018","2022","复旦大学","发育； 细胞外蛋白酶； 星形胶质细胞； 细胞空间定位； 迁移"
"2","31871043","2.星形胶质细胞中LXRβ缺失抑制海马突触形成介导自闭症发生的分子机制研究","2022","面上项目","C0902","C0902","面上项目","范晓棠","60.0","2018","2022","中国人民解放军第三军医大学","树突棘； 自闭症； 星形胶质细胞； 肝脏X受体β； 突触发育"
"3","31871042","3.关于核编码的线粒体基因mRNA的局部翻译对于轴突生长发育和神经环路构建的功能意义","2022","面上项目","C0902","C0902","面上项目","汪伟","59.0","2018","2022","温州医科大学","轴突终末段； 神经环路； 突触发育； 轴突； 投射"
"4","31872763","4.组蛋白去乙酰化酶在脑发育中对神经干细胞的调控机制","2022","面上项目","C0902","C0902","面上项目","解云礼","60.0","2018","2022","复旦大学","脑发育； 神经干细胞； 神经元发育； 大脑皮层发育"
"5","31871039","5.胶质细胞泛素连接酶dSmurf调控蘑菇体神经发育的机制研究","2022","面上项目","C0902","C0902","面上项目","何淑君","59.0","2018","2022","上海科技大学","胶质细胞； 神经元； 发育模型"
"6","31871034","6.人类特异融合转录本Ctnnbip1-Clstn1对大脑皮层发育的影响及机理研究","2022","面上项目","C0902","C0902","面上项目","居相春","60.0","2018","2022","中国科学院脑科学与智能技术卓越创新中心","Ctnnbip1-Clstn1； 神经干细胞； 融合转录本； Wnt-beta-Catenin； 大脑皮层发育"
"7","31871038","7.m6A阅读器蛋白家族YTHDF调控mRNA在轴突内局部翻译和转运的机制研究","2022","面上项目","C0902","C0902","面上项目","姬生健","60.0","2018","2022","南方科技大学","核糖核酸修饰； 局部蛋白合成； 轴突伸长； m6A； 轴突"
"8","31872761","8.CD133 神经干细胞对大脑皮层不对称发育的研究","2022","面上项目","C0902","C0902","面上项目","林泉","59.0","2018","2022","同济大学","单细胞测序； 神经干细胞； 偏侧性； 神经发育； 神经上皮细胞"
"9","31871045","9.Frizzled受体5介导Wnt信号在OPC迁移中的作用和调控机制研究","2022","面上项目","C0902","C0902","面上项目","牛建钦","60.0","2018","2022","中国人民解放军第三军医大学","少突胶质前体细胞； 迁移； 髓鞘再生； 髓鞘化； Wnt通路"
"10","31871036","10.肿瘤抑制分子Lethal Giant Larvae 1 (Lgl1) 促进中枢神经元轴突损伤后再生","2022","面上项目","C0902","C0902","面上项目","王彤","59.0","2018","2022","中山大学","再生； 生长锥； 轴突； 极化； 信号转导"
"11","31871044","11.低密度脂蛋白受体相关蛋白Lrp4调控神经肌肉接头形成和维持的机制研究","2022","面上项目","C0902","C0902","面上项目","李磊","60.0","2018","2022","上海科技大学","神经肌肉接头； 突触前分化； 突触后分化； 突触发育"
"12","31871041","12.I类组蛋白去乙酰化酶调节中枢神经环路构建、功能以及可塑性的机制研究","2022","面上项目","C0902","C0902","面上项目","沈万华","59.0","2018","2022","杭州师范大学","重塑； 组蛋白去乙酰化酶； 神经环路； 新生蛋白； 非洲爪蟾"
"13","31871040","13.DIP2A调控树突棘发育及其机制研究","2022","面上项目","C0902","C0902","面上项目","朱筱娟","60.0","2018","2022","东北师范大学","DIP2A； 树突棘； 微环路； 兴奋性突触； 突触发育"
"14","31871035","14.视网膜细胞多样性发生的细胞谱系机制研究","2022","面上项目","C0902","C0902","面上项目","何杰","59.0","2018","2022","中国科学院脑科学与智能技术卓越创新中心","神经祖细胞； 细胞多样性； 分化； 视网膜； 细胞谱系"
"15","31871037","15.转录因子 Ascl1 在星形胶质细胞转分化为神经元的过程中的作用研究","2022","面上项目","C0902","C0902","面上项目","程乐平","59.0","2018","2022","广西医科大学","转分化； 神经细胞命运决定； 分化； 星形胶质细胞； Ascl1； 转录因子"
"16","31872760","16.基于脊髓肌肉萎缩症体外模型的药物筛选与机制研究","2022","面上项目","C0902","C0902","面上项目","章小清","59.0","2018","2022","同济大学","脊髓肌肉萎缩症； 干细胞； 分化； 运动神经元； 药物筛选"
"17","31730108","1.寨卡病毒感染导致小颅畸形的发病机制与防治研究","2022","重点项目","C0902","C0902","重点项目","许执恒","324.0","2017","2022","中国科学院遗传与发育生物学研究所","小颅畸形； 改进动物模型； 发病机制； 寨卡病毒感染"
"18","91949105","1.少突胶质细胞特异性蛋白Ermin通过细胞骨架调控中枢神经系统脱髓鞘病变和髓鞘再生","2022","重大研究计划","C0902","C0902","重大研究计划","韩静","68.0","2019","2022","陕西师范大学","运动障碍； 神经系统衰老； 细胞骨架； 少突胶质细胞； Ermin"
"19","31860268","1.精神分裂症易感基因Neuregulin1过表达损伤树突棘发育的机制","2022","地区科学基金项目","C0902","C0902","地区科学基金项目","周甜","40.0","2018","2022","南昌大学","精神分裂症； NRG1； 树突棘； 突触发育"
