index,approveText,title,searchYear,searchFund,searchCode,codeText,fundTypeText,personText,money,approveYear,endYear,organization,keywords
"1","31871259","1.ADHD中执行功能的遗传机制研究及其在疾病识别中的应用","2022","面上项目","C0604","C0604","面上项目","常素华","59.0","2018","2022","北京大学","疾病识别模型； 执行功能； 注意缺陷多动障碍； 关联研究； 中国人群"
"2","31871264","2.整合染色质三维构象和高通量实验系统解析肥胖基因组非编码易感SNP的增强子调控机制","2022","面上项目","C0604","C0604","面上项目","杨铁林","59.0","2018","2022","西安交通大学","肥胖； 增强子； 非编码变异； 汉族； 染色质三维构象"
"3","31871249","3.利用核糖体展示定量研究果蝇母体基因的mRNA翻译及其调控机制","2022","面上项目","C0604","C0604","面上项目","何峰","59.0","2018","2022","浙江大学","翻译效率； 母体基因； 高通量测序技术； 核糖体展示； 模式动物"
"4","31872809","4.HOXB13易感基因通过rs339331位点介导产生前列腺癌风险的分子机制","2022","面上项目","C0604","C0604","面上项目","黄启来","59.0","2018","2022","山东大学","HOXB13易感基因； 前列腺癌； 基因互作； 基因组编辑； 汉族"
"5","31871263","5.基于单倍型数据的人类线粒体DNA异质性突变研究","2022","面上项目","C0604","C0604","面上项目","李明锟","59.0","2018","2022","中国科学院北京基因组研究所（国家生物信息中心）","突变； 线粒体基因组； 异质性； 黄色人种； 传递"
"6","31871261","6.基于多家系HVA新致病基因鉴定及遗传学机制研究","2022","面上项目","C0604","C0604","面上项目","蔡善君","59.0","2018","2022","遵义医科大学","表型； 汉族人群； 突变； 家族性玻璃体淀粉样变性； 基因"
"7","31872810","7.CUL4B在调控间充质干细胞成骨／成脂分化中的作用及其机制研究","2022","面上项目","C0604","C0604","面上项目","龚瑶琴","60.0","2018","2022","山东大学","间充质干细胞； 基因功能鉴定； 成骨/成脂分化； CUL4B； 汉族"
"8","31871265","8.人zeta-珠蛋白基因(HBZ)发育阶段特异性调控的分子机制研究","2022","面上项目","C0604","C0604","面上项目","徐湘民","60.0","2018","2022","南方医科大学","抑制子； 基因功能鉴定； 单基因疾病； 基因组编辑； 黄色人种"
"9","31871262","9.毛母质瘤致病基因鉴定及致病分子机制研究","2022","面上项目","C0604","C0604","面上项目","刘静宇","60.0","2018","2022","中国科学院脑科学与智能技术卓越创新中心","单基因疾病； 致病基因鉴定； 毛母质瘤； 小鼠模型； 汉族"
"10","31871260","10.剪接因子prpf31功能及其突变引起视网膜色素变性和眼发育异常的分子机制","2022","面上项目","C0604","C0604","面上项目","刘木根","60.0","2018","2022","华中科技大学","动物模型； 世界人群； 视网膜色素变性； 遗传疾病； 疾病机制"
