index,approveText,title,searchYear,searchFund,searchCode,codeText,fundTypeText,personText,money,approveYear,endYear,organization,keywords
"1","31870049","1.甘氨酸自由基酶IseG在肠道菌群C、N、S和能量代谢中作用的研究","2022","面上项目","C0102","C0102","面上项目","张雁","59.0","2018","2022","天津大学","活性反应中心； 酶分子动力学； 硫还原菌； 催化机制； 自由基酶"
"2","31870057","2.酿酒酵母内质网滞留信号介导的蛋白滞留效应研究","2022","面上项目","C0102","C0102","面上项目","易犁","59.0","2018","2022","湖北大学","高尔基体； 酵母； 内质网滞留效应； 内质网； 滞留信号序列"
"3","31872625","3.微生物天然产物生物合成中新颖氮-氮键合成酶的酶学机理及应用研究","2022","面上项目","C0102","C0102","面上项目","杜艺岭","62.0","2018","2022","浙江大学","生物转化； 生物合成； 微生物天然产物化学； 合成生物学； 催化机制"
"4","31870051","4.特异DNA甲基化修饰在维持耐辐射奇球菌基因组稳定性中的机制研究","2022","面上项目","C0102","C0102","面上项目","华跃进","59.0","2018","2022","浙江大学","抗性基因； 调控基因； DNA修饰； 甲基化； 核酸的合成与功能"
"5","31870048","5.角质酶降解高分子聚酯过程中结合底物的分子机制研究","2022","面上项目","C0102","C0102","面上项目","李凡","59.0","2018","2022","东北师范大学","酶突变体； 高分子聚酯； 底物结合模式； 角质酶； 底物-酶分子对接"
"6","31872624","6.蓝细菌糖原代谢动态控制策略开发及其生理和代谢影响研究","2022","面上项目","C0102","C0102","面上项目","吕雪峰","59.0","2018","2022","中国科学院青岛生物能源与过程研究所","光能自养； 糖原合成； 合成生物学； CO2固定； 蓝细菌"
"7","31870047","7.一类新型细菌转录调控因子的机制研究","2022","面上项目","C0102","C0102","面上项目","张余","59.0","2018","2022","中国科学院分子植物科学卓越创新中心","调控基因； 启动子； 核酸的合成与功能； 转录因子； RNA聚合酶"
"8","31870055","8.嗜麦芽寡养单胞菌多肽修饰酶催化机理研究与应用","2022","面上项目","C0102","C0102","面上项目","吴边","61.0","2018","2022","中国科学院微生物研究所","蛋白质工程； 多肽修饰； 底物识别； 微生物酶催化； 化学生物学"
"9","31870053","9.典型病原菌钙蛋白酶的结构与作用机制","2022","面上项目","C0102","C0102","面上项目","Mark Bartlam","59.0","2018","2022","南开大学","蛋白酶； 药物设计； 酶的结构与功能； 病原菌； 底物结合模式"
"10","31872626","10.新的具有转糖基活性的唾液酸苷酶的基因发掘、分子改造及其催化分子机制研究","2022","面上项目","C0102","C0102","面上项目","肖敏","61.0","2018","2022","山东大学","糖的合成与功能； 唾液酸苷酶； 催化的分子机制； 分子进化； 转糖基反应"
"11","31870054","11.基于尿卟啉原III甲基转移酶CysGA的新型蛋白质稳定性检测探针的开发与应用","2022","面上项目","C0102","C0102","面上项目","全舒","62.0","2018","2022","华东理工大学","蛋白质折叠； 淀粉样纤维； 稳定性检测探针； 定向进化； 融合蛋白"
"12","31870019","12.食气梭菌化能固碳的乙酰化修饰调控机理","2022","面上项目","C0102","C0102","面上项目","姜卫红","59.0","2018","2022","中国科学院分子植物科学卓越创新中心","化能固碳； 乙酰化修饰； 代谢调控； 食气梭菌； 细菌"
"13","31870050","13.链霉菌Streptomyces sp. G0051B 中膦酸类抗生素Argolaphos A的生物合成研究","2022","面上项目","C0102","C0102","面上项目","高江涛","59.0","2018","2022","福建农林大学","小分子化合物； 链霉菌； 膦酸类抗生素； 化学生物学； 生物合成"
"14","31870020","14.茎瘤固氮根瘤菌趋化受体介导的环二鸟苷酸信号途径及功能研究","2022","面上项目","C0102","C0102","面上项目","解志红","62.0","2018","2022","山东农业大学","信号受体； 环二鸟苷酸； 茎瘤固氮根瘤菌； 生物膜； 微生物趋化作用"
"15","31870056","15.糖调节β-葡萄糖苷酶酶活力及稳定性的机制","2022","面上项目","C0102","C0102","面上项目","房伟","59.0","2018","2022","安徽大学","别构调节； 氨基酸共进化网络； 热稳定性； 催化机制"
"16","31872628","16.枯草芽孢杆菌胍基核糖开关RNA调控基因表达的动态结构基础","2022","面上项目","C0102","C0102","面上项目","刘昱","59.0","2018","2022","上海交通大学","调控基因； 核糖开关RNA； 构象变化； RNA修饰； 核磁共振"
"17","31870052","17.海洋细菌来源的PL14家族褐藻胶裂解酶的性质、结构和催化机制研究","2022","面上项目","C0102","C0102","面上项目","陈秀兰","59.0","2018","2022","山东大学","海洋细菌； 酶的结构与功能； 褐藻胶裂解酶； 催化机制； 多糖裂解酶14家族"
"18","31872627","18.磷硫酰化修饰保护DNA免于切割的分子机理研究","2022","面上项目","C0102","C0102","面上项目","吴更","59.0","2018","2022","上海交通大学","活性反应中心； 核酸酶； 底物结合中心； 底物识别机制； 催化机制"
"19","31900022","1.糖原分子结构形成机制及其对细菌环境生存能力的影响研究","2022","青年科学基金项目","C0102","C0102","青年科学基金项目","王亮","18.0","2019","2022","徐州医科大学","寡营养菌； 微生物的环境适应性及机制； 耐干燥菌； 糖原； 平均链长"
"20","31900027","2.磷脂酶D介导的磷脂酸调节灵芝三萜合成的分子机理","2022","青年科学基金项目","C0102","C0102","青年科学基金项目","刘勇男","25.0","2019","2022","中南林业科技大学","磷脂酶D； 灵芝酸； 代谢调控； 磷脂酸； 磷脂酸互作蛋白"
"21","31900039","3.革兰氏阴性菌脂多糖蛋白质转运机器与底物结合的结构与机理研究","2022","青年科学基金项目","C0102","C0102","青年科学基金项目","唐晓迪","25.0","2019","2022","四川大学","外膜合成机制； 脂多糖； 耐药性； 膜蛋白； 微生物生物膜"
